Total Nacional;Provincias;Sexo;Periodo;Total
Total Nacional;02 Albacete;Hombres;1944;5.211
Total Nacional;02 Albacete;Hombres;1943;5.334
Total Nacional;02 Albacete;Hombres;1942;5.037
Total Nacional;02 Albacete;Hombres;1941;4.183
Total Nacional;02 Albacete;Mujeres;2022;1.297
Total Nacional;02 Albacete;Mujeres;2021;1.355
Total Nacional;02 Albacete;Mujeres;2020;1.373
Total Nacional;02 Albacete;Mujeres;2019;1.415
Total Nacional;02 Albacete;Mujeres;2018;1.485
Total Nacional;02 Albacete;Mujeres;2017;1.553
Total Nacional;02 Albacete;Mujeres;2016;1.621
Total Nacional;02 Albacete;Mujeres;2015;1.678
Total Nacional;02 Albacete;Mujeres;2014;1.711
Total Nacional;02 Albacete;Mujeres;2013;1.725
Total Nacional;02 Albacete;Mujeres;2012;1.866
Total Nacional;02 Albacete;Mujeres;2011;1.902
Total Nacional;02 Albacete;Mujeres;2010;2.014
Total Nacional;02 Albacete;Mujeres;2009;2.064
Total Nacional;02 Albacete;Mujeres;2008;2.000
Total Nacional;02 Albacete;Mujeres;2007;1.779
Total Nacional;02 Albacete;Mujeres;2006;1.939
Total Nacional;02 Albacete;Mujeres;2005;1.802
Total Nacional;02 Albacete;Mujeres;2004;1.721
Total Nacional;02 Albacete;Mujeres;2003;1.851
Total Nacional;02 Albacete;Mujeres;2002;1.852
Total Nacional;02 Albacete;Mujeres;2001;1.813
Total Nacional;02 Albacete;Mujeres;2000;1.815
Total Nacional;02 Albacete;Mujeres;1999;1.763
Total Nacional;02 Albacete;Mujeres;1998;1.797
Total Nacional;02 Albacete;Mujeres;1997;1.802
Total Nacional;02 Albacete;Mujeres;1996;1.794
Total Nacional;02 Albacete;Mujeres;1995;1.853
Total Nacional;02 Albacete;Mujeres;1994;1.968
Total Nacional;02 Albacete;Mujeres;1993;1.837
Total Nacional;02 Albacete;Mujeres;1992;2.050
Total Nacional;02 Albacete;Mujeres;1991;2.027
Total Nacional;02 Albacete;Mujeres;1990;2.121
Total Nacional;02 Albacete;Mujeres;1989;2.103
Total Nacional;02 Albacete;Mujeres;1988;1.971
Total Nacional;02 Albacete;Mujeres;1987;2.151
Total Nacional;02 Albacete;Mujeres;1986;2.082
Total Nacional;02 Albacete;Mujeres;1985;2.087
Total Nacional;02 Albacete;Mujeres;1984;2.221
Total Nacional;02 Albacete;Mujeres;1983;2.219
Total Nacional;02 Albacete;Mujeres;1982;2.414
Total Nacional;02 Albacete;Mujeres;1981;2.491
Total Nacional;02 Albacete;Mujeres;1980;2.532
Total Nacional;02 Albacete;Mujeres;1979;2.696
Total Nacional;02 Albacete;Mujeres;1978;2.829
Total Nacional;02 Albacete;Mujeres;1977;2.810
Total Nacional;02 Albacete;Mujeres;1976;3.003
Total Nacional;02 Albacete;Mujeres;1975;2.949
Total Nacional;02 Albacete;Mujeres;1974;3.002
Total Nacional;02 Albacete;Mujeres;1973;2.997
Total Nacional;02 Albacete;Mujeres;1972;3.174
Total Nacional;02 Albacete;Mujeres;1971;3.212
Total Nacional;02 Albacete;Mujeres;1970;3.450
