Total Nacional;Provincias;Sexo;Periodo;Total
Total Nacional;03 Alicante/Alacant;Mujeres;1973;4.154
Total Nacional;03 Alicante/Alacant;Mujeres;1972;3.981
Total Nacional;03 Alicante/Alacant;Mujeres;1971;4.358
Total Nacional;03 Alicante/Alacant;Mujeres;1970;3.900
Total Nacional;03 Alicante/Alacant;Mujeres;1969;4.189
Total Nacional;03 Alicante/Alacant;Mujeres;1968;3.854
Total Nacional;03 Alicante/Alacant;Mujeres;1967;3.739
Total Nacional;03 Alicante/Alacant;Mujeres;1966;3.573
Total Nacional;03 Alicante/Alacant;Mujeres;1965;3.534
Total Nacional;03 Alicante/Alacant;Mujeres;1964;3.470
Total Nacional;03 Alicante/Alacant;Mujeres;1963;3.559
Total Nacional;03 Alicante/Alacant;Mujeres;1962;3.446
Total Nacional;03 Alicante/Alacant;Mujeres;1961;3.215
Total Nacional;03 Alicante/Alacant;Mujeres;1960;3.322
Total Nacional;03 Alicante/Alacant;Mujeres;1959;""
Total Nacional;03 Alicante/Alacant;Mujeres;1958;""
Total Nacional;03 Alicante/Alacant;Mujeres;1957;""
Total Nacional;03 Alicante/Alacant;Mujeres;1956;""
Total Nacional;03 Alicante/Alacant;Mujeres;1955;""
Total Nacional;03 Alicante/Alacant;Mujeres;1954;""
Total Nacional;03 Alicante/Alacant;Mujeres;1953;""
Total Nacional;03 Alicante/Alacant;Mujeres;1952;""
Total Nacional;03 Alicante/Alacant;Mujeres;1951;""
Total Nacional;03 Alicante/Alacant;Mujeres;1950;""
Total Nacional;03 Alicante/Alacant;Mujeres;1949;""
Total Nacional;03 Alicante/Alacant;Mujeres;1948;""
Total Nacional;03 Alicante/Alacant;Mujeres;1947;""
Total Nacional;03 Alicante/Alacant;Mujeres;1946;""
Total Nacional;03 Alicante/Alacant;Mujeres;1945;""
Total Nacional;03 Alicante/Alacant;Mujeres;1944;""
Total Nacional;03 Alicante/Alacant;Mujeres;1943;""
Total Nacional;03 Alicante/Alacant;Mujeres;1942;""
Total Nacional;03 Alicante/Alacant;Mujeres;1941;""
Total Nacional;03 Alicante/Alacant;Mujeres;1940;""
Total Nacional;03 Alicante/Alacant;Mujeres;1939;""
Total Nacional;03 Alicante/Alacant;Mujeres;1938;""
Total Nacional;03 Alicante/Alacant;Mujeres;1937;""
Total Nacional;03 Alicante/Alacant;Mujeres;1936;""
Total Nacional;03 Alicante/Alacant;Mujeres;1935;""
Total Nacional;03 Alicante/Alacant;Mujeres;1934;""
Total Nacional;03 Alicante/Alacant;Mujeres;1933;""
Total Nacional;03 Alicante/Alacant;Mujeres;1932;""
Total Nacional;03 Alicante/Alacant;Mujeres;1931;""
Total Nacional;03 Alicante/Alacant;Mujeres;1930;""
Total Nacional;04 Almería;Total;1974;3.251
Total Nacional;04 Almería;Total;1973;3.308
Total Nacional;04 Almería;Total;1972;3.219
Total Nacional;04 Almería;Total;1971;3.430
Total Nacional;04 Almería;Total;1970;3.296
Total Nacional;04 Almería;Total;1969;3.364
Total Nacional;04 Almería;Total;1968;3.195
Total Nacional;04 Almería;Total;1967;3.014
Total Nacional;04 Almería;Total;1966;3.046
Total Nacional;04 Almería;Total;1965;2.968
Total Nacional;04 Almería;Total;1964;3.037
Total Nacional;04 Almería;Total;1963;3.190
Total Nacional;04 Almería;Total;1962;3.182
Total Nacional;04 Almería;Total;1961;3.122
Total Nacional;04 Almería;Total;1960;3.203
Total Nacional;04 Almería;Total;1959;3.128
Total Nacional;04 Almería;Total;1958;3.168
Total Nacional;04 Almería;Total;1957;3.534
Total Nacional;04 Almería;Total;1956;3.491
Total Nacional;04 Almería;Total;1955;3.638
Total Nacional;04 Almería;Total;1954;3.188
Total Nacional;04 Almería;Total;1953;3.409
Total Nacional;04 Almería;Total;1952;3.734
Total Nacional;04 Almería;Total;1951;4.170
Total Nacional;04 Almería;Total;1950;3.949
Total Nacional;04 Almería;Total;1949;4.043
Total Nacional;04 Almería;Total;1948;4.116
Total Nacional;04 Almería;Total;1947;4.163
Total Nacional;04 Almería;Total;1946;4.675
Total Nacional;04 Almería;Total;1945;4.224
Total Nacional;04 Almería;Total;1944;4.853
Total Nacional;04 Almería;Total;1943;5.066
Total Nacional;04 Almería;Total;1942;5.283
Total Nacional;04 Almería;Total;1941;7.212
Total Nacional;04 Almería;Total;1940;7.509
Total Nacional;04 Almería;Total;1939;8.807
Total Nacional;04 Almería;Total;1938;7.963
Total Nacional;04 Almería;Total;1937;8.381
Total Nacional;04 Almería;Total;1936;6.410
Total Nacional;04 Almería;Total;1935;5.864
Total Nacional;04 Almería;Total;1934;5.937
Total Nacional;04 Almería;Total;1933;6.293
Total Nacional;04 Almería;Total;1932;6.338
Total Nacional;04 Almería;Total;1931;6.024
Total Nacional;04 Almería;Total;1930;6.561
Total Nacional;04 Almería;Hombres;1974;1.599
Total Nacional;04 Almería;Hombres;1973;1.626
Total Nacional;04 Almería;Hombres;1972;1.626
Total Nacional;04 Almería;Hombres;1971;1.767
Total Nacional;04 Almería;Hombres;1970;1.642
Total Nacional;04 Almería;Hombres;1969;1.656
Total Nacional;04 Almería;Hombres;1968;1.557
Total Nacional;04 Almería;Hombres;1967;1.502
Total Nacional;04 Almería;Hombres;1966;1.595
Total Nacional;04 Almería;Hombres;1965;1.473
Total Nacional;04 Almería;Hombres;1964;1.545
Total Nacional;04 Almería;Hombres;1963;1.635
Total Nacional;04 Almería;Hombres;1962;1.611
Total Nacional;04 Almería;Hombres;1961;1.507
Total Nacional;04 Almería;Hombres;1960;1.580
Total Nacional;04 Almería;Hombres;1959;""
Total Nacional;04 Almería;Hombres;1958;""
Total Nacional;04 Almería;Hombres;1957;""
Total Nacional;04 Almería;Hombres;1956;""
Total Nacional;04 Almería;Hombres;1955;""
Total Nacional;04 Almería;Hombres;1954;""
Total Nacional;04 Almería;Hombres;1953;""
Total Nacional;04 Almería;Hombres;1952;""
Total Nacional;04 Almería;Hombres;1951;""
Total Nacional;04 Almería;Hombres;1950;""
Total Nacional;04 Almería;Hombres;1949;""
Total Nacional;04 Almería;Hombres;1948;""
Total Nacional;04 Almería;Hombres;1947;""
Total Nacional;04 Almería;Hombres;1946;""
Total Nacional;04 Almería;Hombres;1945;""
Total Nacional;04 Almería;Hombres;1944;""
Total Nacional;04 Almería;Hombres;1943;""
Total Nacional;04 Almería;Hombres;1942;""
Total Nacional;04 Almería;Hombres;1941;""
Total Nacional;04 Almería;Hombres;1940;""
Total Nacional;04 Almería;Hombres;1939;""
Total Nacional;04 Almería;Hombres;1938;""
